community_id,city,state,population,area_sqm,density_pop_per_sqm,closest_large_media_market,distance_from_lmm,pct_white,pct_black,pct_hislat,universities_count,county_seat,state_capital
74,Searcy,AR,22858,18.34,1246.6,Memphis,95,87,1,5,0,Yes,No
75,Slidell,LA,27068,14.84,1823.5,New Orleans,28,76,17,6,0,No,No
76,Spartanburg,SC,37013,19.77,1872.2,Charlotte,65,46,49,3,2,Yes,No
77,Springville,UT,29466,14.38,2049,Salt Lake City,44,95,0,5,0,No,No
78,St. Cloud,FL,35183,17.76,1981.3,Orlando,26,82,6,29,0,No,No
79,Stamford,CT,122643,37.64,3258.4,New York,34,53,13,24,0,No,No
80,State College,PA,42034,4.56,9223.2,Pittsburgh,115,83,4,4,1,No,No
81,Stockton,CA,291707,61.67,4730.2,San Francisco,45,37,12,40,1,No,No
82,Strongsville,OH,44750,24.63,1817.1,Cleveland,15,92,2,2,0,No,No
83,Surprise,AZ,117517,105.75,1111.3,Phoenix,21,81,5,18,0,No,No
84,Texarkana,AR,29919,41.65,718.3,Dallas,166,62,33,3,0,Yes,No
85,Thornton,CO,118772,34.84,3408.8,Denver,9,77,2,32,0,No,No
86,Tracy,CA,82922,22,3768.7,San Jose,38,53,7,37,0,No,No
87,Utica,NY,62235,16.76,3713.6,New York,177,69,15,11,1,Yes,No
88,Vacaville,CA,92428,28.37,3257.7,Sacramento,31,66,10,23,0,No,No
89,Valley Stream,NY,37511,3.48,10772.4,New York,16,79,8,12,0,No,No
90,Visalia,CA,124442,36.25,3433.3,Los Angeles,168,65,1,46,0,Yes,No
91,Walnut Creek,CA,64173,19.76,3248.2,San Francisco,22,79,2,9,0,No,No
92,West Allis,WI,60411,11.38,5306.3,Milwaukee,5,87,4,10,0,No,No
93,West Bend,WI,31078,14.57,2133.7,Milwaukee,30,95,0,4,0,No,No
94,West Covina,CA,106098,16.04,6614.3,Los Angeles,18,43,5,53,0,No,No
95,Willoughby,OH,22268,10.25,2172.7,Cleveland,19,93.6,3.1,1.3,0,No,No
96,Winona,MN,27592,18.84,1464.4,Minneapolis,101,93,2,2,1,No,No
97,Woodbury,MN,61961,34.73,1784.1,Minneapolis,15,81,6,4,0,No,No
98,Woodstock,GA,23896,11.16,2141.3,Atlanta,26,79,10,10,0,No,No
99,Wyoming,MI,72125,24.64,2927.3,Detroit,141,76,7,19,0,No,No
100,Yakima,WA,91067,27.18,3350.6,Seattle,111,67,2,41,0,No,No
