outlet_id,outlet_name,url,outlet_type,community_id,city,state
73,NA,http://denversports760.iheart.com/,Radio Station,85,"Thornton, CO",CO
76,NA,http://etvradio.org/#stream/0,Radio Station,71,"Rock Hill, SC",SC
79,NA,http://foxsportstexarkana.com/,Radio Station,NA,"Texarkana, TX",TX
98,NA,http://katsfm.com/,Radio Station,100,"Yakima, WA",WA
107,NA,http://kmel.iheart.com/,Radio Station,91,"Walnut Creek, CA",CA
110,NA,http://kolu.com/,Radio Station,100,"Yakima, WA",WA
119,NA,http://kygl.com/,Radio Station,84,"Texarkana, AR",AR
122,NA,http://lapreciosa929.iheart.com/,Radio Station,90,"Visalia, CA",CA
129,NA,http://lite987.com/,Radio Station,87,"Utica, NY",NY
130,KITS-FM4,http://live105.cbslocal.com/,Radio Station,91,"Walnut Creek, CA",CA
133,NA,http://mega100fm.iheart.com/,Radio Station,81,"Stockton, CA",CA
145,NA,http://new.tabernaculodelafeyakima.org/,2 and 3,100,"Yakima, WA",WA
146,NA,http://newstalkkit.com/,Radio Station,100,"Yakima, WA",WA
183,NA,http://powertalk967.iheart.com/,Radio Station,90,"Visalia, CA",CA
194,NA,http://southsidebaptistrh.org/,Radio Station,71,"Rock Hill, SC",SC
195,NA,http://spirit889.com/,Radio Station,90,"Visalia, CA",CA
220,WZGL FM 88.1,http://wbgl.org/,Radio Station,22,"East St. Louis, IL",IL
225,NA,http://wdov.iheart.com/,Radio Station,21,"Dover, DE",DE
227,NA,http://welw.com/,Radio Station,95,"Willoughby, OH",OH
231,NA,http://wgrc.com/,Radio Station,80,"State College, PA",PA
236,NA,http://wjti1640.com,Radio Station,92,"West Allis, WI",WI
248,NA,http://wour.com/,Radio Station,87,"Utica, NY",NY
249,NA,http://wpsu.org/,Radio Station,80,"State College, PA",PA
261,NA,http://wtlr.org/,Radio Station,80,"State College, PA",PA
262,NA,http://wvik.org/#stream/0,Radio Station,72,"Rock Island, IL",IL
299,K214DN 90.7 Air 1,http://www.air1.com/,Radio Station,100,"Yakima, WA",WA
322,NA,http://www.ccyakimavalley.com/the-bridge-of-hope/,Radio Station,100,"Yakima, WA",WA
338,K268AS 101.5 FM,http://www.csnradio.com/,Radio Station,100,"Yakima, WA",WA
360,NA,http://www.estlmonitor.com,Newspaper/Magazine,NA,DUPLICATE ENTRY,RY
367,NA,http://www.foreverstatecollege.com/espn-1450/,Radio Station,80,"State College, PA",PA
368,NA,http://www.foreverstatecollege.com/happy-103/,Radio Station,80,"State College, PA",PA
380,NA,http://www.grcmc.org/wyce/,Radio Station,99,"Wyoming, MI",MI
513,NA,http://www.radioamistad.net/ra/,Radio Station,NA,"Texarkana, TX",TX
526,WNSC Channel 30,http://www.scetv.org/,TV Station,76,"Spartanburg, SC",SC
549,K40KB Channel 40,http://www.tbn.org/,TV Station,13,"Bozeman, MT",MT
587,NA,http://www.wbkv.com/,Radio Station,93,"West Bend, WI",WI
596,NA,http://www.wexl1340.com/,Radio Station,73,"Royal Oak, MI",MI
620,NA,http://www.woli-am.com,Radio Station,76,"Spartanburg, SC",SC
621,NA,http://www.woli-fm.com,Radio Station,76,"Spartanburg, SC",SC
626,NA,http://www.wqjcfm.com,Radio Station,69,"Quincy, IL",IL
649,NA,http://www2.isu.edu/kisufm/,Radio Station,70,"Rexburg, ID",ID
